,business_id,name,stars,review_count,attributes,categories,hours,LocationKey,X1
45,YISw5PbRXitMdYA797uQag,Scarborough Bluffs,4.5,50,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Parks, Active Life",,46,45.0
303,vqtblEvEH7gD9jVFw2qDnw,Marie Curtis Park,4.5,5,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True'}","Parks, Active Life",,304,303.0
304,HEBEGlSx8YxgywbPx_sKvA,Enchanted Castle,2.0,3,{'GoodForKids': 'True'},"Playgrounds, Active Life",,305,304.0
381,Ffxs-sjIEWitPAC-y2qb2Q,All For Fun & Fun For All,2.5,5,{'GoodForKids': 'True'},"Playgrounds, Active Life","{'Monday': '9:30-15:30', 'Tuesday': '9:30-15:30', 'Wednesday': '9:30-15:30', 'Thursday': '9:30-15:30', 'Friday': '9:30-20:30', 'Saturday': '9:0-12:0', 'Sunday': '9:0-12:0'}",382,381.0
451,478DPZ2KOUAIj30jP6gu7g,Hendon Park,4.5,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Parks, Active Life",,452,451.0
713,58h2EhvN3iJ4jeu95N5YzA,Allan Gardens,4.5,100,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True'}","Active Life, Parks","{'Monday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}",714,713.0
883,BSqMayKogqIFL-zj30KcQA,Corktown Common,4.0,13,"{'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks, Dog Parks, Playgrounds",,884,883.0
1320,tv460aZVxuiHu1C7X2inHw,Ramsden Park,4.0,7,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Tennis, Skating Rinks, Parks",,1321,1320.0
1339,QIUheP5W2cpvOA7ipSd9wA,Moss Park,2.5,4,{'GoodForKids': 'False'},"Active Life, Parks",,1340,1339.0
1361,wJK311GrpDS9KSaPdz27hQ,Trinity Bellwoods Park,4.5,85,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'DogsAllowed': 'True'}","Tennis, Parks, Active Life","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1362,1361.0
1852,21AZ9RR7D7s2TlT5S07mMA,Coronation Dog Park,4.0,11,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life, Dog Parks",,1853,1852.0
2044,sPPFktUgmql_RJNYlVVVjw,Jimmie Simpson Park,3.0,3,"{'GoodForKids': 'True', 'BikeParking': 'True'}","Skating Rinks, Tennis, Active Life, Parks",,2045,2044.0
2156,yhgo5fty_Q4ASeRmEUGomg,Little Norway park,4.0,4,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Playgrounds, Parks, Active Life",,2157,2156.0
2250,_f4ECv0_dCMJ__NkUsXNXg,Milliken Park,4.0,11,"{'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Parks, Active Life",,2251,2250.0
2343,tAGPjyoP_qR7obcqg-a08Q,Glendora Park,4.0,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks",,2344,2343.0
2601,z3Ng5Djr0HlhWWCbG6ggbg,L'Amoreaux Park,4.5,4,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life",,2602,2601.0
2666,Za690sqMnzlltUPYWmtBqQ,Sprouts - Growing Bodies & Minds,3.0,13,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'WheelchairAccessible': 'True'}","Playgrounds, Recreation Centers, Active Life, Summer Camps","{'Monday': '0:0-0:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-16:0', 'Sunday': '9:0-13:0'}",2667,2666.0
2769,9yhgLdMHBgJ2Mu0jkxlmDA,Bruce Mackey Park,3.0,3,,"Parks, Active Life",,2770,2769.0
2865,CVukRfIodxXZ9CZC8u_SuQ,Colonel Samuel Smith Park,4.5,13,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Skating Rinks, Active Life, Parks, Skate Parks",,2866,2865.0
2910,njibVlsPhZ9HKTAz0C3QgA,Hooray for Play,3.5,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Playgrounds, Indoor Playcentre","{'Monday': '9:30-13:30', 'Tuesday': '9:30-13:30', 'Wednesday': '9:30-13:30', 'Thursday': '9:30-13:30', 'Friday': '9:30-13:30'}",2911,2910.0
3372,sg9k_AhqasHCma-_JnGLsw,Palace Pier Park,5.0,6,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life",,3373,3372.0
3644,tu6byjGkepWssyUGqFDboA,Trillium Park,5.0,3,"{'DogsAllowed': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True'}","Parks, Hiking, Active Life, Playgrounds",,3645,3644.0
3794,y7y6y8rA_9fdOi6rk_EfKQ,Jamie Bell Adventure Playground,4.5,5,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True'}","Active Life, Playgrounds",,3795,3794.0
3958,OWuO_voonrS9xStBMREVXg,Yorkville Park,4.0,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks, Local Flavor",,3959,3958.0
4026,Tl7g7mnbbWjg3AXAsA0wFQ,Sir Winston Churchill Park,4.0,8,{'GoodForKids': 'True'},"Parks, Active Life",,4027,4026.0
4051,k-3J66smBCnI30ZMwGpzAw,Eglinton Park,4.0,5,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks",,4052,4051.0
4138,iRxYSTxCLRFu7HWiiHaxUw,Bellevue Square Park,4.0,12,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks",,4139,4138.0
4362,1w7J0Ja9SSM3V_zwYTZScQ,Monkey Magoo's Party & Playhouse,4.5,6,{'GoodForKids': 'True'},"Event Planning & Services, Recreation Centers, Venues & Event Spaces, Playgrounds, Active Life, Indoor Playcentre","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0', 'Sunday': '9:0-18:0'}",4363,4362.0
4411,I4XlqNFX4vxd9b6kvEBheQ,Centennial Park Conservatory,4.5,16,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Active Life, Parks","{'Monday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}",4412,4411.0
4481,oxLLLMC78Oq0jDdMwbOtBw,Thomson Memorial Park,4.0,7,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life",,4482,4481.0
4723,o0TM7iNhDJdX0GTSMhlchQ,Southern Linear Park,1.5,3,{'GoodForKids': 'False'},"Parks, Dog Parks, Active Life",,4724,4723.0
4753,tyVRfb_Xr7r9aQ73Q-NQXQ,Dufferin Grove Park,5.0,14,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True'}","Parks, Active Life",,4754,4753.0
5010,wYev2t1gkAiz7U4Pgh3KOQ,Olive Square Park,3.5,7,{'GoodForKids': 'True'},"Parks, Active Life","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",5011,5010.0
5013,ur3M3N5K-45M3fnK_jYA4Q,Rouge Beach Park,4.5,13,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks",,5014,5013.0
5473,BuFxrCINwWXaIzQUR1_d5A,Willowdale Off Leash Dog Area,2.5,8,"{'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Active Life, Parks, Dog Parks",,5474,5473.0
5638,aTPPgfGzmemaKZdpkymt8A,Greenwood Park,3.0,10,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Parks, Skating Rinks, Active Life",,5639,5638.0
5672,iWBKDEPeBeBAEsM4llx7xA,James Garden's Park,3.5,3,"{'GoodForKids': 'True', 'BikeParking': 'True'}","Parks, Active Life",,5673,5672.0
5831,kC9xjFyucgCupZloE8BrWw,High Park Zoo,4.0,24,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Zoos, Active Life, Parks","{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '7:0-17:0', 'Sunday': '7:0-17:0'}",5832,5831.0
6070,HvhJcRzN9BBeJNfXnZKjIw,Clarence Square Park,3.5,11,"{'GoodForKids': 'True', 'DogsAllowed': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Active Life, Dog Parks, Parks",,6071,6070.0
6263,QnIJiCnX-JPomoT4QckN2g,Cloud Gardens,3.5,6,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life",,6264,6263.0
6660,T6yj2qsoUbHTs6r_z6JAvg,Glen Stewart Ravine,4.0,3,,"Active Life, Parks",,6661,6660.0
6848,ekP5DT-9piDf57_yHEEyjg,Dog Park at Allen Gardens,3.0,15,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False', 'BikeParking': 'True'}","Active Life, Parks, Dog Parks",,6849,6848.0
6933,rksiwImM2ZQ5nQGKLGpT7g,Leslie Grove Park,3.5,3,{'GoodForKids': 'True'},"Parks, Active Life",,6934,6933.0
7518,mzEVjJrc4Fva2ixZ1TOL9Q,Kids Fun City,4.0,8,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Event Planning & Services, Recreation Centers, Venues & Event Spaces, Active Life, Laser Tag, Mini Golf, Playgrounds","{'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Sunday': '10:0-20:0'}",7519,7518.0
7834,GPKhCWk5mwrQY5joLy_K4w,Withrow Park,4.0,6,{'GoodForKids': 'True'},"Skating Rinks, Active Life, Local Flavor, Parks",,7835,7834.0
7871,68-EAQsRYuXYDzovGAOfFQ,Christie Pits Park,4.5,22,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life",,7872,7871.0
8015,mEHvb1m8_g4zGneN-RWVrA,Etienne Brulé Park,4.5,8,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Active Life, Parks",,8016,8015.0
8856,rOS2NDgj1y1gvXOKmFeKLA,G Ross Lord Park,4.5,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Dog Parks, Parks",,8857,8856.0
8931,GlmOExnqUfxMjZGt5gZ4Hw,Sherwood Park,4.5,3,{'GoodForKids': 'True'},"Active Life, Parks",,8932,8931.0
9111,BX9Q8pT8bLsqWWZIJoBs9g,Riverdale Park West,5.0,9,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'BikeParking': 'True'}","Dog Parks, Swimming Pools, Parks, Pets, Active Life",,9112,9111.0
